date,tournament,opponent,scored,conceded,is_home,neutral,city,country
2018-06-24,FIFA World Cup,Colombia,0,3,False,True,Kazan,Russia
2018-06-28,FIFA World Cup,Japan,1,0,False,True,Volgograd,Russia
2018-09-07,UEFA Nations League,Italy,1,1,False,False,Bologna,Italy
2018-09-11,Friendly,Republic of Ireland,1,1,True,False,Wroclaw,Poland
2018-10-11,UEFA Nations League,Portugal,2,3,True,False,Chorzow,Poland
2018-10-14,UEFA Nations League,Italy,0,1,True,False,Chorzow,Poland
2018-11-15,Friendly,Czech Republic,0,1,True,False,Gdańsk,Poland
2018-11-20,UEFA Nations League,Portugal,1,1,False,False,Guimaraes,Portugal
2019-03-21,UEFA Euro qualification,Austria,1,0,False,False,Vienna,Austria
2019-03-24,UEFA Euro qualification,Latvia,2,0,True,False,Warsaw,Poland
2019-06-07,UEFA Euro qualification,North Macedonia,1,0,False,False,Skopje,North Macedonia
2019-06-10,UEFA Euro qualification,Israel,4,0,True,False,Warsaw,Poland
2019-09-06,UEFA Euro qualification,Slovenia,0,2,False,False,Ljubljana,Slovenia
2019-09-09,UEFA Euro qualification,Austria,0,0,True,False,Warsaw,Poland
2019-10-10,UEFA Euro qualification,Latvia,3,0,False,False,Riga,Latvia
2019-10-13,UEFA Euro qualification,North Macedonia,2,0,True,False,Warsaw,Poland
2019-11-16,UEFA Euro qualification,Israel,2,1,False,False,Jerusalem,Israel
2019-11-19,UEFA Euro qualification,Slovenia,3,2,True,False,Warsaw,Poland
